repo,pr,url,username,date,total
cucumber-ruby,491,https://github.com/cucumber/cucumber-ruby/pull/491,famished-tiger,2013-06-18,352
cucumber-ruby-core,4,https://github.com/cucumber/cucumber-ruby-core/pull/4,rwestgeest,2013-06-19,353
cucumber-js,126,https://github.com/cucumber/cucumber-js/pull/126,ReactiveRaven,2013-06-20,354
aruba,160,https://github.com/cucumber/aruba/pull/160,spinnylights,2013-06-26,355
cucumber-ruby,496,https://github.com/cucumber/cucumber-ruby/pull/496,ambirag,2013-07-02,356
cucumber-jvm,554,https://github.com/cucumber/cucumber-jvm/pull/554,meriouma,2013-07-03,357
cucumber-ruby,497,https://github.com/cucumber/cucumber-ruby/pull/497,rousisk,2013-07-03,358
cucumber-jvm,555,https://github.com/cucumber/cucumber-jvm/pull/555,mortizbey,2013-07-03,359
cucumber-rails,250,https://github.com/cucumber/cucumber-rails/pull/250,geigerzaehler,2013-07-04,360
aruba,161,https://github.com/cucumber/aruba/pull/161,cpb,2013-07-04,361
cucumber-ruby,499,https://github.com/cucumber/cucumber-ruby/pull/499,beanieboi,2013-07-08,362
cucumber-jvm,558,https://github.com/cucumber/cucumber-jvm/pull/558,guyburton,2013-07-14,363
cucumber-ruby,504,https://github.com/cucumber/cucumber-ruby/pull/504,flyinprogrammer,2013-07-15,364
cucumber-jvm,560,https://github.com/cucumber/cucumber-jvm/pull/560,meza,2013-07-22,365
cucumber-ruby,508,https://github.com/cucumber/cucumber-ruby/pull/508,ayr-ton,2013-07-26,366
cucumber-rails,254,https://github.com/cucumber/cucumber-rails/pull/254,marnen,2013-07-29,367
cucumber-rails,255,https://github.com/cucumber/cucumber-rails/pull/255,meismann,2013-07-30,368
cucumber-js,130,https://github.com/cucumber/cucumber-js/pull/130,devpaul,2013-08-01,369
cucumber-ruby,512,https://github.com/cucumber/cucumber-ruby/pull/512,pikesley,2013-08-02,370
cucumber-ruby,515,https://github.com/cucumber/cucumber-ruby/pull/515,adbatista,2013-08-10,371
cucumber-ruby,517,https://github.com/cucumber/cucumber-ruby/pull/517,vestel,2013-08-13,372
cucumber-ruby,521,https://github.com/cucumber/cucumber-ruby/pull/521,mlex,2013-08-16,373
cucumber-jvm,571,https://github.com/cucumber/cucumber-jvm/pull/571,sirchia,2013-08-18,374
cucumber-ruby,524,https://github.com/cucumber/cucumber-ruby/pull/524,mdiepenbeck,2013-08-19,375
cucumber-ruby,530,https://github.com/cucumber/cucumber-ruby/pull/530,jordanstephens,2013-09-01,376
cucumber-jvm,580,https://github.com/cucumber/cucumber-jvm/pull/580,jamiewastin,2013-09-02,377
