repo, issue, url, days_since_last_update
cucumber-js,1649,https://github.com/cucumber/cucumber-js/pull/1649,9
cucumber-js,1648,https://github.com/cucumber/cucumber-js/issues/1648,25
cucumber-js,1645,https://github.com/cucumber/cucumber-js/pull/1645,0
cucumber-js,1644,https://github.com/cucumber/cucumber-js/issues/1644,29
cucumber-js,1641,https://github.com/cucumber/cucumber-js/issues/1641,29
cucumber-js,1640,https://github.com/cucumber/cucumber-js/issues/1640,26
cucumber-js,1617,https://github.com/cucumber/cucumber-js/pull/1617,11
cucumber-js,1588,https://github.com/cucumber/cucumber-js/pull/1588,2
cucumber-js,1582,https://github.com/cucumber/cucumber-js/issues/1582,33
cucumber-js,1579,https://github.com/cucumber/cucumber-js/issues/1579,11
cucumber-js,1568,https://github.com/cucumber/cucumber-js/pull/1568,0
cucumber-js,1566,https://github.com/cucumber/cucumber-js/pull/1566,11
cucumber-js,1551,https://github.com/cucumber/cucumber-js/issues/1551,110
cucumber-js,1545,https://github.com/cucumber/cucumber-js/issues/1545,105
cucumber-js,1538,https://github.com/cucumber/cucumber-js/issues/1538,33
cucumber-js,1537,https://github.com/cucumber/cucumber-js/issues/1537,105
cucumber-js,1534,https://github.com/cucumber/cucumber-js/issues/1534,16
cucumber-js,1532,https://github.com/cucumber/cucumber-js/issues/1532,16
cucumber-js,1531,https://github.com/cucumber/cucumber-js/pull/1531,11
cucumber-js,1489,https://github.com/cucumber/cucumber-js/issues/1489,20
cucumber-js,1475,https://github.com/cucumber/cucumber-js/issues/1475,105
cucumber-js,1457,https://github.com/cucumber/cucumber-js/issues/1457,68
cucumber-js,1453,https://github.com/cucumber/cucumber-js/issues/1453,105
cucumber-js,1434,https://github.com/cucumber/cucumber-js/pull/1434,11
cucumber-js,1409,https://github.com/cucumber/cucumber-js/issues/1409,105
cucumber-js,1408,https://github.com/cucumber/cucumber-js/issues/1408,36
cucumber-js,1404,https://github.com/cucumber/cucumber-js/issues/1404,105
cucumber-js,1394,https://github.com/cucumber/cucumber-js/issues/1394,105
cucumber-js,1393,https://github.com/cucumber/cucumber-js/issues/1393,105
cucumber-js,1373,https://github.com/cucumber/cucumber-js/issues/1373,317
cucumber-js,1324,https://github.com/cucumber/cucumber-js/issues/1324,105
cucumber-js,1321,https://github.com/cucumber/cucumber-js/issues/1321,105
cucumber-js,1312,https://github.com/cucumber/cucumber-js/issues/1312,105
cucumber-js,1304,https://github.com/cucumber/cucumber-js/issues/1304,27
cucumber-js,1302,https://github.com/cucumber/cucumber-js/issues/1302,22
cucumber-js,1288,https://github.com/cucumber/cucumber-js/issues/1288,69
cucumber-js,1278,https://github.com/cucumber/cucumber-js/issues/1278,48
cucumber-js,1277,https://github.com/cucumber/cucumber-js/issues/1277,105
cucumber-js,1275,https://github.com/cucumber/cucumber-js/issues/1275,105
cucumber-js,1263,https://github.com/cucumber/cucumber-js/issues/1263,105
cucumber-js,1255,https://github.com/cucumber/cucumber-js/issues/1255,105
cucumber-js,1247,https://github.com/cucumber/cucumber-js/issues/1247,105
cucumber-js,1233,https://github.com/cucumber/cucumber-js/issues/1233,105
cucumber-js,1153,https://github.com/cucumber/cucumber-js/issues/1153,105
cucumber-js,1141,https://github.com/cucumber/cucumber-js/issues/1141,105
cucumber-js,1136,https://github.com/cucumber/cucumber-js/issues/1136,105
cucumber-js,1120,https://github.com/cucumber/cucumber-js/issues/1120,105
cucumber-js,1079,https://github.com/cucumber/cucumber-js/issues/1079,105
cucumber-js,1044,https://github.com/cucumber/cucumber-js/issues/1044,22
cucumber-js,1021,https://github.com/cucumber/cucumber-js/issues/1021,105
cucumber-js,1004,https://github.com/cucumber/cucumber-js/issues/1004,105
cucumber-js,859,https://github.com/cucumber/cucumber-js/issues/859,105
cucumber-js,751,https://github.com/cucumber/cucumber-js/issues/751,105
cucumber-js,745,https://github.com/cucumber/cucumber-js/issues/745,105
cucumber-js-package-upgrade,2,https://github.com/cucumber/cucumber-js-package-upgrade/pull/2,165
cucumber-json-schema,3,https://github.com/cucumber/cucumber-json-schema/issues/3,46
cucumber-json-testdata-generator,15,https://github.com/cucumber/cucumber-json-testdata-generator/pull/15,41
cucumber-json-testdata-generator,14,https://github.com/cucumber/cucumber-json-testdata-generator/pull/14,41
cucumber-json-testdata-generator,13,https://github.com/cucumber/cucumber-json-testdata-generator/issues/13,77
cucumber-json-testdata-generator,12,https://github.com/cucumber/cucumber-json-testdata-generator/pull/12,165
cucumber-json-testdata-generator,11,https://github.com/cucumber/cucumber-json-testdata-generator/pull/11,254
cucumber-json-testdata-generator,10,https://github.com/cucumber/cucumber-json-testdata-generator/pull/10,305
cucumber-json-testdata-generator,9,https://github.com/cucumber/cucumber-json-testdata-generator/pull/9,427
cucumber-json-testdata-generator,7,https://github.com/cucumber/cucumber-json-testdata-generator/pull/7,1329
cucumber-jvm,2304,https://github.com/cucumber/cucumber-jvm/pull/2304,1
cucumber-jvm,2303,https://github.com/cucumber/cucumber-jvm/pull/2303,1
cucumber-jvm,2302,https://github.com/cucumber/cucumber-jvm/issues/2302,1
cucumber-jvm,2300,https://github.com/cucumber/cucumber-jvm/pull/2300,1
cucumber-jvm,2299,https://github.com/cucumber/cucumber-jvm/pull/2299,3
cucumber-jvm,2294,https://github.com/cucumber/cucumber-jvm/issues/2294,9
cucumber-jvm,2288,https://github.com/cucumber/cucumber-jvm/issues/2288,18
cucumber-jvm,2286,https://github.com/cucumber/cucumber-jvm/pull/2286,6
cucumber-jvm,2285,https://github.com/cucumber/cucumber-jvm/issues/2285,29
cucumber-jvm,2283,https://github.com/cucumber/cucumber-jvm/pull/2283,3
cucumber-jvm,2281,https://github.com/cucumber/cucumber-jvm/pull/2281,22
cucumber-jvm,2279,https://github.com/cucumber/cucumber-jvm/issues/2279,38
cucumber-jvm,2278,https://github.com/cucumber/cucumber-jvm/issues/2278,45
cucumber-jvm,2257,https://github.com/cucumber/cucumber-jvm/pull/2257,22
cucumber-jvm,2256,https://github.com/cucumber/cucumber-jvm/pull/2256,22
cucumber-jvm,2255,https://github.com/cucumber/cucumber-jvm/pull/2255,22
cucumber-jvm,2254,https://github.com/cucumber/cucumber-jvm/issues/2254,21
cucumber-jvm,2216,https://github.com/cucumber/cucumber-jvm/issues/2216,105
cucumber-jvm,2215,https://github.com/cucumber/cucumber-jvm/issues/2215,98
cucumber-jvm,2174,https://github.com/cucumber/cucumber-jvm/issues/2174,38
cucumber-jvm,2143,https://github.com/cucumber/cucumber-jvm/pull/2143,29
cucumber-jvm,2054,https://github.com/cucumber/cucumber-jvm/issues/2054,105
cucumber-jvm,2044,https://github.com/cucumber/cucumber-jvm/issues/2044,76
cucumber-jvm,2035,https://github.com/cucumber/cucumber-jvm/issues/2035,105
cucumber-jvm,1936,https://github.com/cucumber/cucumber-jvm/issues/1936,347
cucumber-jvm,1931,https://github.com/cucumber/cucumber-jvm/issues/1931,329
cucumber-jvm,1921,https://github.com/cucumber/cucumber-jvm/issues/1921,159
cucumber-jvm,1891,https://github.com/cucumber/cucumber-jvm/issues/1891,120
cucumber-jvm,1871,https://github.com/cucumber/cucumber-jvm/issues/1871,159
cucumber-jvm,1834,https://github.com/cucumber/cucumber-jvm/issues/1834,90
cucumber-jvm,1829,https://github.com/cucumber/cucumber-jvm/issues/1829,326
cucumber-jvm,1805,https://github.com/cucumber/cucumber-jvm/issues/1805,93
cucumber-jvm,1711,https://github.com/cucumber/cucumber-jvm/issues/1711,92
cucumber-jvm,1707,https://github.com/cucumber/cucumber-jvm/issues/1707,105
cucumber-jvm-groovy,22,https://github.com/cucumber/cucumber-jvm-groovy/pull/22,165
cucumber-jvm-groovy,20,https://github.com/cucumber/cucumber-jvm-groovy/issues/20,20
cucumber-jvm-scala,175,https://github.com/cucumber/cucumber-jvm-scala/issues/175,85
cucumber-jvm-scala,4,https://github.com/cucumber/cucumber-jvm-scala/issues/4,373
cucumber-lua,16,https://github.com/cucumber/cucumber-lua/pull/16,165
cucumber-lua,15,https://github.com/cucumber/cucumber-lua/pull/15,223
cucumber-lua,14,https://github.com/cucumber/cucumber-lua/pull/14,253
cucumber-lua,13,https://github.com/cucumber/cucumber-lua/pull/13,935
cucumber-lua,8,https://github.com/cucumber/cucumber-lua/pull/8,230
